total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
420720000000.0,27590000000.0,-7120000000.0,25770000000.0,-2550000000.0,23230000000.0,1359999999.0,2021-12-31,APLI.JK,27590000000,54320000000,57780000000,431280000000.0,58740000000.0,200250000000.0,65720000000.0,231030000000.0,231120000000.0,130520000000,58740000000,,257709999999,49200000000.0,33000000000.0
526830000000.0,62890000000.0,-5620000000.0,61230000000.0,-14630000000.0,46610000000.0,1359999999.0,2022-12-31,APLI.JK,62890000000,89930000000,104120000000,468540000000.0,109070000000.0,189590000000.0,66670000000.0,278950000000.0,279050000000.0,124400000000,109070000000,,245530000000,74020000000.0,61560000000.0
469140000000.0,66540000000.0,-3990000000.0,66709999999.0,-16309999999.0,50420000000.0,1359999999.0,2023-12-31,APLI.JK,66540000000,93800000000,112470000000,490510000000.0,125410000000.0,156660000000.0,48350000000.0,333850000000.0,333960000000.0,90790000000,125410000000,,258800000000,83480000000.0,46800000000.0
30940000000.0,1260000000.0,0.0,1270000000.0,-16540000.0,1250000000.0,1000000000.0,2019-12-31,JMAS.JK,,,,169280000000.0,7750000000.0,55580000000.0,0.0,113700000000.0,113700000000.0,,,,,-27470000000.0,-27830000000.0
44420000000.0,326280000.0,0.0,269470000.0,-216140000.0,53330000.0,1000000000.0,2020-12-31,JMAS.JK,,,,206610000000.0,36300000000.0,90300000000.0,0.0,116310000000.0,116310000000.0,,,,,22650000000.0,14860000000.0
53020000000.0,1839999999.0,0.0,1940000000.0,-653150000.0,1280000000.0,1000000000.0,2021-12-31,JMAS.JK,,,,218860000000.0,18520000000.0,103190000000.0,0.0,115670000000.0,115670000000.0,,,,,4350000000.0,3980000000.0
48830000000.0,2660000000.0,0.0,2150000000.0,-646070000.0,1500000000.0,955960000.0,2022-12-31,JMAS.JK,,,,261600000000.0,18450000000.0,145170000000.0,0.0,116430000000.0,116430000000.0,,,,,-11020000000.0,-12680000000.0
72640000000.0,5270000000.0,0.0,3600000000.0,-1080000000.0,2530000000.0,1000000000.0,2023-12-31,JMAS.JK,,,,273010000000.0,7430000000.0,152800000000.0,0.0,120210000000.0,120210000000.0,,,,,-37900000000.0,-39470000000.0
714330000000.0,49420000000.0,-18070000000.0,35320000000.0,-10310000000.0,21320000000.0,7250000000.0,2019-12-31,BELL.JK,49420000000,69130000000,198990000000,590880000000.0,19540000000.0,313830000000.0,197010000000.0,277050000000.0,242610000000.0,279730000000,19610000000,,186700000000,-24830000000.0,-58950000000.0
538299999999.0,11160000000.0,-24510000000.0,-14070000000.0,-2490000000.0,-16030000000.0,7250000000.0,2020-12-31,BELL.JK,11160000000,42810000000,115560000000,554240000000.0,53140000000.0,297710000000.0,197510000000.0,256529999999.0,223400000000.0,260050000000,53210000000,,197920000000,63150000000.0,45510000000.0
428170000000.0,23350000000.0,-15780000000.0,8490000000.0,-4310000000.0,2450000000.0,7250000000.0,2021-12-31,BELL.JK,23350000000,51890000000,110820000000,524470000000.0,36740000000.0,264700000000.0,152150000000.0,259769999999.0,225180000000.0,228430000000,36820000000,,175850000000,34360000000.0,28610000000.0
461850000000.0,24800000000.0,-14810000000.0,8529999999.0,-4070000000.0,2660000000.0,7250000000.0,2022-12-31,BELL.JK,24800000000,48250000000,131000000000,525780000000.0,19660000000.0,264350000000.0,154130000000.0,261430000000.0,225580000000.0,225220000000,19740000000,,181810000000,15220000000.0,1700000000.0
538590000000.0,27560000000.0,-13690000000.0,17140000000.0,-5670000000.0,8760000000.0,7240000000.0,2023-12-31,BELL.JK,27560000000,50530000000,153530000000,530039999999.0,11840000000.0,264790000000.0,156990000000.0,265250000000.0,228940000000.0,229370000000,11920000000,,167060000000,16989999999.0,-72960000.0
9630000000000.0,11720000000.0,-801350000.0,15000000000.0,-3170000000.0,11830000000.0,1520000000.0,2019-12-31,HDIT.JK,11720000000,15600000000,23540000000,362560000000.0,71720000000.0,9970000000.0,0.0,352600000000.0,352600000000.0,9540000000,71720000000,,89550000000,-121680000000.0,-121710000000.0
3160000000000.0,-1010000000.0,-631940000.0,4290000000.0,-60630000.0,3860000000.0,1520000000.0,2020-12-31,HDIT.JK,-1010000000,12260000000,6910000000,413960000000.0,177520000.0,53130000000.0,42910000000.0,360830000000.0,356420000000.0,49010000000,38980000000,,76660000000,-49130000000.0,-49130000000.0
3490000000000.0,-6230000000.0,-215180000.0,-6440000000.0,-780620000.0,-7440000000.0,1520000000.0,2021-12-31,HDIT.JK,-6230000000,7090000000,2330000000,464610000000.0,279750000.0,110960000000.0,3560000000.0,353650000000.0,349020000000.0,10710000000,279750000,,76790000000,22550000000.0,21520000000.0
4120000000000.0,-22880000000.0,-355460000.0,-23000000000.0,129800000.0,-22860000000.0,1520000000.0,2022-12-31,HDIT.JK,-22880000000,-14450000000,3120000000,354520000000.0,161590000.0,23810000000.0,5000000000.0,330710000000.0,326090000000.0,15020000000,161590000,,68209999999,-26530000000.0,-26530000000.0
2150000000000.0,-42300000000.0,-7990000.0,-42200000000.0,43510000.0,-42130000000.0,1520000000.0,2023-12-31,HDIT.JK,-42300000000,-34900000000,-6440000000,348030000000.0,44790000.0,59310000000.0,5000000000.0,288730000000.0,284130000000.0,34340000000,44790000,,60820000000,-11870000000.0,-11880000000.0
